Metric,Value
n_events,21
mu_baseline,0.047190980316857416
alpha_excitation,1e-06
beta_decay,4.447664582686978
branching_ratio,2.2483709852865468e-07
is_stable,True
fragility_score,2.2483709852865468e-07
excitation_level,Low
mean_intensity,0.04719098200900857
max_intensity,0.047190992159758055
avg_inter_event_time,17.75
