Metric,Value
n_events,30
mu_baseline,0.06741572452219981
alpha_excitation,1e-06
beta_decay,9.587403637631217
branching_ratio,1.0430352552122989e-07
is_stable,True
fragility_score,1.0430352552122989e-07
excitation_level,Low
mean_intensity,0.06741572453134494
max_intensity,0.06741572459078708
avg_inter_event_time,12.655172413793103
