Metric,Value
hurst_exponent,0.6469785929600007
regime,Trending
shannon_entropy,4.4231763059051215
chaos_metric,0.44231763059051216
is_chaotic,True
is_mean_reverting,False
is_trending,True
combined_score,0.36813740825525676
