time,returns,cp_prob,detected_50,detected_75
0,-0.001585553410473329,0.0,0,0
1,-0.000574084811504568,0.0,0,0
2,0.0050878610050096125,0.0,0,0
3,0.032991452482754244,0.0,0,0
4,0.0321266592650017,0.0,0,0
5,0.07247588934141404,0.0,0,0
6,0.046663813879315674,0.0,0,0
7,0.005853022606078461,0.0,0,0
8,0.034819130931517894,0.0,0,0
9,0.018481341468449312,0.0,0,0
10,-0.018454509228184167,0.0,0,0
11,-0.03740591533136048,0.0,0,0
12,-0.013209626604234583,0.0,0,0
13,0.01599182081868295,0.0,0,0
14,0.03475787151976363,0.0,0,0
15,0.0788179034116419,0.0,0,0
16,0.026746574825020464,0.0,0,0
17,-0.053183584061482915,0.0,0,0
18,0.023804650604559087,0.0,0,0
19,0.14387803973883326,0.0,0,0
20,-0.008455470189522115,0.5,0,0
21,0.010327198860544529,0.4839899965930496,0,0
22,0.03590846088119787,0.48870998102466484,0,0
23,-0.06347467641259923,0.5175441070341735,1,0
24,-0.05147933854124162,0.5278093010892145,1,0
25,-0.028646200211787695,0.4812264550504216,0,0
26,0.015958181655441245,0.43823227358392475,0,0
27,0.022525691102487644,0.4258295622478922,0,0
28,0.0788336240463716,0.4925133714058167,0,0
29,0.03301983233310382,0.4017474314796021,0,0
30,0.020124864099604404,0.393615489912185,0,0
31,0.008722626055324296,0.40045554704962794,0,0
32,0.005288804097517729,0.40640489978403416,0,0
33,-0.027382904973731286,0.46773148850103424,0,0
34,0.01705871292772132,0.3859683626347245,0,0
35,-0.008888637685634094,0.41113030405128265,0,0
36,-0.019030565251512897,0.48695375577963107,0,0
37,-0.026934927912515425,0.5309991672449731,1,0
38,-0.020216597926062098,0.4837259483151456,0,0
39,0.025006665670083424,0.39247629249725974,0,0
40,-0.005916768954738031,0.6439506956455385,1,0
41,-0.01588642020345054,0.6560059902553467,1,0
42,0.024780073549142512,0.4524529832254365,0,0
43,0.01198647089931576,0.5425561703215587,1,0
44,-0.037609737382469505,0.5747657908535595,1,0
45,0.00953591143220089,0.6634161153406122,1,0
46,-0.006016632990340034,0.6875674263335588,1,0
47,-0.004016818599375947,0.6931537005347527,1,0
48,-0.019138133913454255,0.6552296939227142,1,0
49,-0.010421122406925722,0.8264149859780601,1,1
50,-0.009900367236104662,0.8618122183338449,1,1
51,-0.008204892719436108,0.8772147417400862,1,1
52,0.014823441205478441,0.5088076070602987,1,0
53,0.007751788042633027,0.725057481363311,1,0
54,0.0104847329427804,0.7051629658910846,1,0
55,0.011635563664800935,0.6641222023820021,1,0
56,-0.01251428657333839,0.854517674514203,1,1
57,0.011319841130843477,0.7010743969379343,1,0
58,-0.01817811102964667,0.7621955366670184,1,1
59,-0.0016610011543115968,0.8681286488647225,1,1
60,-0.008324298263653133,0.884220996413511,1,1
61,0.000558548515040117,0.8746926360377212,1,1
62,0.030967276974203737,0.05418445263517222,0,0
63,-0.009465337742086466,0.8615816621705163,1,1
64,0.004667766125050784,0.8353627703480997,1,1
65,-0.009555083028306877,0.8765020065388945,1,1
66,-0.07507338230964596,2.6312634184578227e-07,0,0
