time,returns,cp_prob,detected_50,detected_75
0,-0.004687533424521322,0.0,0,0
1,-0.0014369289799427815,0.0,0,0
2,0.0009167842673155596,0.0,0,0
3,-0.0005842268981049781,0.0,0,0
4,-0.009721568722605848,0.0,0,0
5,0.014212004785598325,0.0,0,0
6,0.012275454504454737,0.0,0,0
7,-0.008644263019423384,0.0,0,0
8,-0.0015820189957741352,0.0,0,0
9,0.014443267414325466,0.0,0,0
10,0.012080744170931664,0.0,0,0
11,0.0011723368839409282,0.0,0,0
12,0.0032645750014186356,0.0,0,0
13,-0.0007103324541159501,0.0,0,0
14,-0.003562499460572496,0.0,0,0
15,0.006891359686209604,0.0,0,0
16,0.006302482745908676,0.0,0,0
17,-0.005810557963382903,0.0,0,0
18,-0.013652039298076023,0.0,0,0
19,0.010793884106919166,0.0,0,0
20,-0.000512747943864953,0.5,0,0
21,-0.00039484948494816123,0.48701731429917905,0,0
22,0.007117295582134724,0.5108858687654649,1,0
23,-0.008100241470518901,0.4675342399519079,0,0
24,-0.002230186938095681,0.43952657873133477,0,0
25,0.003303767805493405,0.4834029590542448,0,0
26,0.006600694678775834,0.5163927952456235,1,0
27,0.003926472435413175,0.5073783025510652,1,0
28,0.008399517698553998,0.5384076308976578,1,0
29,0.021628884192666398,0.5774456248193885,1,0
30,0.004246060402556565,0.5207594198017771,1,0
31,-0.0005742878640231189,0.5233077786818499,1,0
32,0.005138270953085817,0.5133318730536535,1,0
33,-0.001581756788629087,0.5018337802584899,1,0
34,0.006135738781360271,0.4981487117603993,0,0
35,0.010743738608236153,0.5311053742250577,1,0
36,-0.0035349419715487774,0.46189220209633636,0,0
37,0.006296740637234038,0.48092756802598624,0,0
38,0.007777672145350305,0.5185056200706436,1,0
39,-0.006019733574168078,0.2740958688260051,0,0
40,-0.004835337289254823,0.3970188819428507,0,0
41,-0.0008031049774027482,0.4896248382177516,0,0
42,-0.0005864158311935303,0.4854779775397844,0,0
43,-0.008059219516026334,0.39071863460452216,0,0
44,-0.004535663495800375,0.42537968972351287,0,0
45,0.003335423303704371,0.53288733372835,1,0
46,-0.018995870364517428,0.393337868034276,0,0
47,-0.007276570369785675,0.4956284512786259,0,0
48,-0.0021516757869247927,0.4484994725028126,0,0
49,0.005288128069979212,0.4163681785984329,0,0
50,0.008449961965235037,0.3293715127266006,0,0
51,0.006330382203403321,0.40018899551119014,0,0
52,-0.0016950324140794107,0.5521388494663588,1,0
53,0.009200593555245823,0.32984334522352915,0,0
54,-0.0012672588892956433,0.5247533036697887,1,0
55,-0.01910388484738299,0.8266731069358833,1,1
56,-0.0029151566319685976,0.5510894332689819,1,0
57,-0.0028590712316157,0.5436847192676328,1,0
58,0.0023891526886111345,0.3994308136184381,0,0
59,-0.00590613108405617,0.6711522134365719,1,0
60,-0.003004263178951932,0.5782527913687896,1,0
61,-0.002310403156799982,0.5521918175790529,1,0
62,-0.01993239043380235,0.9246766813542353,1,1
63,-0.009142913384926978,0.7246741771741283,1,0
64,-0.011072403922276111,0.773348338521581,1,1
65,0.013138983146053988,0.20119576665188932,0,0
66,0.0016042107844587755,0.337318882228672,0,0
67,-0.0019488888202006723,0.4747412026639297,0,0
68,-0.010237500795380572,0.6713018461801914,1,0
69,0.010590345116287437,0.3124172271337648,0,0
70,0.005016175799001831,0.3441542263020805,0,0
71,0.007681418313441095,0.3149982829769595,0,0
72,-0.000358070872825056,0.416118637269287,0,0
73,-0.0025586119927397503,0.4615158895169724,0,0
74,-0.005458884708079756,0.5753936435749942,1,0
75,-0.002502608527902264,0.4792692877621136,0,0
76,0.0065226312584673865,0.32832640610888264,0,0
77,-0.007932187432784269,0.6213434469882869,1,0
78,0.02645237937866333,0.6315324627808234,1,0
79,0.025748952368121962,0.9418406565281551,1,1
80,-0.003187839874738048,0.3412742767748102,0,0
81,0.006487567891659033,0.366281904693231,0,0
82,-0.001833385117753287,0.3165988542219535,0,0
83,0.007411757648755719,0.4607860268953148,0,0
84,-0.005311220149865738,0.33633500596588406,0,0
85,-0.011319785723549653,0.36139980601575017,0,0
86,0.004655221918919799,0.4269367640437609,0,0
87,0.01335095798642922,0.6675838878066195,1,0
88,-0.0014995854776397458,0.33736211403874294,0,0
89,0.0009733750472983995,0.3717012744964635,0,0
90,0.0025701262045069203,0.40560353395897397,0,0
91,-0.004843835587092193,0.3461078121807371,0,0
92,0.01569793688932477,0.7480599721249732,1,0
93,-0.0011104387676710947,0.3385477236863552,0,0
94,0.012232881724340125,0.6540728874494259,1,0
95,0.0031260373626039034,0.38431391594386477,0,0
96,-0.0010095489846480132,0.3144173141782247,0,0
97,-0.011027789124872971,0.35873038253114103,0,0
98,0.03471887951334364,0.9997505195700851,1,1
99,0.04325406796569611,0.9999910220986757,1,1
100,-0.003935874630151373,0.27040799949032845,0,0
101,-0.010057492228551021,0.3463949337039607,0,0
102,-0.018087611280384226,0.6959923838912695,1,0
103,0.007588595359550566,0.33793894586112705,0,0
104,0.01842599858447579,0.7644067739374705,1,1
105,-0.0016378314500177114,0.2409310820596928,0,0
106,0.0057249130420442594,0.30950722520081264,0,0
107,-0.0006260789386087681,0.2408989383441397,0,0
108,-0.00473698585751328,0.26667897374908,0,0
109,0.002960262147373292,0.26449045649046454,0,0
110,-0.009669364765551301,0.353661481876737,0,0
111,-0.025319951942781267,0.9624114936715308,1,1
112,0.0010518043625853356,0.2234659875729872,0,0
113,0.012369762435760313,0.43943110952026143,0,0
114,-0.011539560454518982,0.4435766988233146,0,0
115,0.00750000444223,0.2819527483807604,0,0
116,0.0034312895958060648,0.23021061717595437,0,0
117,0.0013910082892676884,0.22089644903875566,0,0
118,0.04692678377777897,0.9999991000207447,1,1
119,0.016580228395593588,0.5799200901413559,1,0
120,-0.0128257381526135,0.5384045790543502,1,0
121,0.0066215471979091415,0.306179750004738,0,0
122,-0.004648284933072398,0.32204717492615237,0,0
123,0.00823061057329076,0.37357057971202745,0,0
